Category,Sub-Technique,Description,GIF URL,GIF Filename,Creator,Source URL,Page URL
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/04/01/FACE/63a9f775e13e38481158f0a2a5861742.gif,63a9f775e13e38481158f0a2a5861742.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/21/tumblr_493520897a54e6bf0b77c594a53ceea3_3b52b34c_540/cde77eadc46381fb34de359e3ab72348.gif,cde77eadc46381fb34de359e3ab72348.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/20/Sequence_01_LDPgqiF/ffb1bae30810e651bd65b24bad7d270c.gif,ffb1bae30810e651bd65b24bad7d270c.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/28/tumblr_f45a204e08b1b7fab7a8c917ffb6f35d_bbb0e6cd_540/bfc0b3a08c088a644cac1e311abd087a.gif,bfc0b3a08c088a644cac1e311abd087a.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/01/tumblr_a156947426889453eec3d9b06c2494d7_f8d1cfb4_540/661be9c8e73d44f92a7ae8cd65e833a0.gif,661be9c8e73d44f92a7ae8cd65e833a0.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/24/coach__life_has_different_paths__1080p_LpwQxvS/9a26912208a15911391576f8090e8361.gif,9a26912208a15911391576f8090e8361.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/21/tumblr_685e7b73c469cbf543461d72977aa17b_870e10a3_540/abb8bf75f1fc3fda68b662713f08e170.gif,abb8bf75f1fc3fda68b662713f08e170.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/25/tumblr_e274002705748cd78fe667b58e4b047d_3abd50d9_540/e999a6b1b8a9fcec2e68116578beec33.gif,e999a6b1b8a9fcec2e68116578beec33.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/24/KYLE_-_iSpy_feat._Lil_Yachty_Official_Music_Video_PX28SqM/566c53fb249d65f32bbd900deb2b7443.gif,566c53fb249d65f32bbd900deb2b7443.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/25/AAP_Rocky_-_Praise_The_Lord_Da_Shine_Official_Video_ft._Skepta_8QLBqJG/c2d30e8d8192369149be27e2b7d8c145.gif,c2d30e8d8192369149be27e2b7d8c145.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/11/WILLOW_-_Carly_Gibert_CRHn2JK/56cf5945c83dd306b6399549166aa2f6.gif,56cf5945c83dd306b6399549166aa2f6.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/28/1_YoqtUQi/946251d7b72417a28bbfc8b60ced8450.gif,946251d7b72417a28bbfc8b60ced8450.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/19/Dec-18-2023_17-36-11/68355e624d69f7a2e16366b281e37f5a.gif,68355e624d69f7a2e16366b281e37f5a.gif,"",,https://eyecannndy.com/technique/close-up
